Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
"Shop 5, 353 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Fugazza,-37.815698280,144.962995311
"Shop 2, 353 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Madame Squint,-37.815698280,144.962995311
"Shop 6, 353 Little Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Viet St,-37.815698280,144.962995311
36 Block Place MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafe Segovia,-37.815268353,144.964390164
30 Block Place MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Olio Cucina,-37.815282348,144.964459536
"Shop 1, 282-292 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Hopetoun Tea Rooms,-37.815527704,144.964340754
260-274 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Burger Project St. Collins Lane,-37.815380534,144.964890586
88 Elizabeth Street MELBOURNE 3000,Newspaper and Book Retailing,Others,Seats - Indoor,Mag Nation Pty Ltd,-37.815846398,144.964239634
"Kiosk 1, 91-107 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Switchboard Cafe,-37.815296908,144.966103024
"Shop 10, Ground , 93-107 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,1932 Cafe & Restaurant,-37.815296908,144.966103024
"Shop 6, 115 Swanston Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Chocolate Arcade,-37.815070181,144.965780601
"Shop 4, 115 Swanston Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Thai Viet,-37.815070181,144.965780601
"Shop 8, 162 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Cafenatics,-37.814502920,144.967847651
215 Little Collins Street MELBOURNE 3000,Accommodation,Others,Seats - Indoor,The Victoria Hotel Melbourne,-37.814465021,144.967080786
"Suite 1, Mezzanine , 150-154 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,In A Rush 150 Collins,-37.814185587,144.968176608
"Level 1, 7-19 Alfred Place MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Cut Steakhouse,-37.814012819,144.969910424
"Shop 5, Ground , 90 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Entrecote City,-37.814017675,144.970286901
86 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Doc Martins,-37.813936765,144.970584391
"Shop 6, 80 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Mediterranean Deli,-37.813639308,144.970686322
"Ground , 52 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Koko Black Chocolate,-37.813560763,144.971839575
